Date,Health Score,Sleep score,Macro score,Vitamin and Mineral Score
2019-01-06,0.794903021508512,0.8794804727564093,0.6897320968206447,0.9530623015873015
2019-01-07,0.7699765181780073,0.8794804727564093,0.6850401621787026,0.8331217195767197
2019-01-08,0.7971949726021637,0.8794804727564093,0.809494190981956,0.8447599628942484
2019-01-09,0.738639481922851,0.8794804727564093,0.7124687216211947,0.6490079788584465
2019-01-10,0.7501620083568405,0.8794804727564093,0.5654132991936064,0.8536760334559823
2019-01-11,0.806720754127332,0.8794804727564093,0.8573675943656967,0.8445154671363495
2019-01-12,0.779061613935371,0.8794804727564093,0.7771966799265606,0.7863906806156806
2019-01-13,0.7903935547025462,0.8794804727564093,0.7455921052631578,0.8746549591149592
2019-01-14,0.7291728247232491,0.8794804727564093,0.5874390552456226,0.726704359236009
2019-01-15,0.752238512009891,0.8794804727564093,0.5223054890560875,0.9071663618587532
2019-01-16,0.7572799536730881,0.8794804727564093,0.5880140664519845,0.8666649927788419
2019-01-17,0.7699246484034417,0.8794804727564093,0.7918222154222766,0.7260803174603174
2019-01-18,0.7761813971738838,0.8794804727564093,0.672318729837258,0.876867546897547
2019-01-19,0.8107193186040953,0.8794804727564093,0.8269022066371856,0.8949736772486772
2019-01-20,0.7795354734302267,0.8794804727564093,0.6767555709554323,0.8892010870610869
2019-01-21,0.7553425801190355,0.8794804727564093,0.6281540697674418,0.8168381216931218
2019-01-22,0.8047750861310953,0.8794804727564093,0.8425293535554941,0.8496253679653679
2019-01-23,0.7575803989092348,0.8794804727564093,0.7430011080072649,0.713180177404295
2019-01-24,0.755667404494175,0.8794804727564093,0.7395592952998311,0.7070570180364297
2019-01-25,0.7875560421611736,0.8794804727564093,0.7696113823831345,0.8364481192881192
